sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0,277;284;;300rounds;Yes;No;2;0,28100;0,71900;0,00000;0,30971;1,00000;BoulwareNegotiationParty@0;boa-negotiator.boaframework.offeringstrategy.other.ChoosingAllBids-negotiator.boaframework.acceptanceconditions.other.AC_CombiV4_b_e_d_a_c-negotiator.boaframework.opponentmodel.TheFawkes_OM-negotiator.boaframework.omstrategy.TheFawkes_OMS@1;0.281;0.719;0.281;0.719;0.281;0.719;0.0;0.0;0.281;0.719;pie_A.xml;pie_B.xml
0,245;284;;300rounds;Yes;No;2;0,28200;0,71800;0,00000;0,30830;1,00000;boa-negotiator.boaframework.offeringstrategy.other.ChoosingAllBids-negotiator.boaframework.acceptanceconditions.other.AC_CombiV4_b_e_d_a_c-negotiator.boaframework.opponentmodel.TheFawkes_OM-negotiator.boaframework.omstrategy.TheFawkes_OMS@2;BoulwareNegotiationParty@3;0.718;0.282;0.718;0.282;0.718;0.282;0.0;0.0;0.718;0.282;pie_A.xml;pie_B.xml
