sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
;2;Session genius.core.session.Session@7d0587f1 failed: Failed to execute protocol: Execution failed of boa-negotiator.boaframework.offeringstrategy.anac2013.InoxAgent_Offering-negotiator.boaframework.acceptanceconditions.anac2013.AC_TheFawkes-negotiator.boaframework.opponentmodel.TheFawkes_OM-negotiator.boaframework.omstrategy.NullStrategy_t@1:java.lang.NullPointerException: null:[negotiator.parties.ConcederNegotiationParty, boa-negotiator.boaframework.offeringstrategy.anac2013.InoxAgent_Offering-negotiator.boaframework.acceptanceconditions.anac2013.AC_TheFawkes-negotiator.boaframework.opponentmodel.TheFawkes_OM-negotiator.boaframework.omstrategy.NullStrategy_t];300rounds;No;;0;;;;;;ConcederNegotiationParty;boa-negotiator.boaframework.offeringstrategy.anac2013.InoxAgent_Offering-negotiator.boaframework.acceptanceconditions.anac2013.AC_TheFawkes-negotiator.boaframework.opponentmodel.TheFawkes_OM-negotiator.boaframework.omstrategy.NullStrategy_t;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
0,180;151;;300rounds;Yes;No;2;0,29693;1,00000;0,00000;0,66723;1,29693;boa-negotiator.boaframework.offeringstrategy.anac2013.InoxAgent_Offering-negotiator.boaframework.acceptanceconditions.anac2013.AC_TheFawkes-negotiator.boaframework.opponentmodel.TheFawkes_OM-negotiator.boaframework.omstrategy.NullStrategy_t@2;ConcederNegotiationParty@3;1.0;0.2969260373579895;1.0;0.2969260373579895;1.0;0.2969260373579895;0.0;0.0;1.0;0.2969260373579895;party1_utility.xml;party2_utility.xml
