sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Utility 1;Utility 2;Utility 3;Utility 4;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Perceived. Util. 1;Perceived. Util. 2;Perceived. Util. 3;Perceived. Util. 4;User Bother 1;User Bother 2;User Bother 3;User Bother 4;User Util. 1;User Util. 2;User Util. 3;User Util. 4;Profile 1;Profile 2;Profile 3;Profile 4
;9;Session genius.core.session.Session@394810ba failed: Failed to execute protocol: null:[agents.TimeDependentAgentConceder, agents.TimeDependentAgentConceder, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class];60rounds;No;;0;;;;;;TimeDependentAgentConceder;TimeDependentAgentConceder;TitForTatAgentTB;TitForTatAgentTB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
;56;Session genius.core.session.Session@63a160e6 failed: Failed to execute protocol: null:[negotiator.parties.RandomCounterOfferNegotiationParty, agents.TimeDependentAgentConceder, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class];60rounds;No;;0;;;;;;RandomCounterOfferNegotiationParty;TimeDependentAgentConceder;TitForTatAgentTB;TitForTatAgentTB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
0,159;61;;60rounds;No;No;1;0,00000;0,00000;1,36280;1,58071;0,00000;TitForTatAgentTB@122;RandomCounterOfferNegotiationParty@123;TitForTatAgentTB@124;TitForTatAgentTB@125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
;4;Session genius.core.session.Session@26dce3fe failed: Failed to execute protocol: null:[agents.TimeDependentAgentBoulware, negotiator.parties.RandomCounterOfferNegotiationParty, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class];60rounds;No;;0;;;;;;TimeDependentAgentBoulware;RandomCounterOfferNegotiationParty;TitForTatAgentTB;TitForTatAgentTB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
;4;Session genius.core.session.Session@43093784 failed: Failed to execute protocol: null:[agents.TimeDependentAgentConceder, negotiator.parties.RandomCounterOfferNegotiationParty, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class];60rounds;No;;0;;;;;;TimeDependentAgentConceder;RandomCounterOfferNegotiationParty;TitForTatAgentTB;TitForTatAgentTB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
0,154;60;;60rounds;Yes;No;4;0,41949;0,85714;0,08862;0,52951;2,65548;RandomCounterOfferNegotiationParty@134;RandomCounterOfferNegotiationParty@135;TitForTatAgentTB@136;TitForTatAgentTB@137;0.5508333333333333;0.41949168592884495;0.8280096963973863;0.85714205;0.5508333333333333;0.41949168592884495;0.8280096963973863;0.85714205;0.5508333333333333;0.41949168592884495;0.8280096963973863;0.85714205;0.0;0.0;0.0;0.0;0.5508333333333333;0.41949168592884495;0.8280096963973863;0.85714205;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0,178;61;;60rounds;No;No;1;0,00000;0,00000;1,36280;1,58071;0,00000;TitForTatAgentTB@138;TitForTatAgentTB@139;TimeDependentAgentBoulware@140;TitForTatAgentTB@141;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
;44;Session genius.core.session.Session@5c7ffad7 failed: Failed to execute protocol: null:[agents.TimeDependentAgentBoulware, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class, agents.TimeDependentAgentBoulware, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class];60rounds;No;;0;;;;;;TimeDependentAgentBoulware;TitForTatAgentTB;TimeDependentAgentBoulware;TitForTatAgentTB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
;7;Session genius.core.session.Session@2dadaa7 failed: Failed to execute protocol: null:[agents.TimeDependentAgentConceder, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class, agents.TimeDependentAgentBoulware, C:\Users\DANIEL\Desktop\Universidad\Master\NARC\negociacion\out\production\negociacion\TitForTatAgentTB.class];60rounds;No;;0;;;;;;TimeDependentAgentConceder;TitForTatAgentTB;TimeDependentAgentBoulware;TitForTatAgentTB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
0,159;61;;60rounds;No;No;1;0,00000;0,00000;1,36280;1,58071;0,00000;RandomCounterOfferNegotiationParty@150;TitForTatAgentTB@151;TimeDependentAgentBoulware@152;TitForTatAgentTB@153;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
