27,1,0.4426229508196721,BoulwareNegotiationParty@46,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
27,2,0.4426229508196721,ConcederNegotiationParty@47,(Offer  bid:Bid[a: a4, b: b2, c: c1, d: d1])
28,1,0.45901639344262296,BoulwareNegotiationParty@46,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
28,2,0.45901639344262296,ConcederNegotiationParty@47,(Offer  bid:Bid[a: a1, b: b3, c: c1, d: d3])
29,1,0.47540983606557374,BoulwareNegotiationParty@46,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
29,2,0.47540983606557374,ConcederNegotiationParty@47,(Offer  bid:Bid[a: a4, b: b4, c: c4, d: d4])
30,1,0.4918032786885246,BoulwareNegotiationParty@46,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d1])
30,2,0.4918032786885246,ConcederNegotiationParty@47,(Offer  bid:Bid[a: a1, b: b3, c: c1, d: d1])
31,1,0.5081967213114754,BoulwareNegotiationParty@46,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d1])
31,2,0.5081967213114754,ConcederNegotiationParty@47,(Offer  bid:Bid[a: a1, b: b4, c: c1, d: d2])
32,1,0.5245901639344263,BoulwareNegotiationParty@46,(Offer  bid:Bid[a: a1, b: b3, c: c1, d: d2])
32,2,0.5245901639344263,ConcederNegotiationParty@47,(Accept  bid:Bid[a: a1, b: b3, c: c1, d: d2])
agreement,Bid[a: a1, b: b3, c: c1, d: d2],0.9574395316875075,0.3569323009260619
